Name,Latitude,Longitude,Purpose,River,Nearest City,District,Elevation,Type,Length (m),Max Height above Foundation (m),Slope(%),Seismic_Zone,SoilType_Main,SoilType_Secondary,NearestRiver,RiverDistance(km),RiverFlowRate(m/day),Rainfall_2020,Rainfall_2021,Rainfall_2022,Rainfall_2023,Rainfall_2024,Rainfall_5yr_Avg,MonsoonIntensityAvg(mm/wet_day),Jan NDVI,Feb NDVI,Mar NDVI,Apr NDVI,May NDVI,Jun NDVI,Jul NDVI,Aug NDVI,Sep NDVI,Oct NDVI,Nov NDVI,Dec NDVI
Aamli Chharchhoda Dam,21.3924,73.3858,Irrigation,Kotar,Dahod,dahod,106.0,Earthen,600.0,11.0,9.009,3,Unknown,Unknown,"Ukai, Reservoir ",34.1641,0.002,1295.4,1979.8,1387.9,1125.6,2121.1,1581.96,16.25,79.0,95.5,77.0,78.5,81.5,99.0,60.0,65.5,122.0,4.0,113.0,89.0
Abhalwad Dam,21.5733,71.4583,Irrigation,Zangarda,Jafarabad Mahal,Amreli,89.0,Earthen,477.0,18.0,0.0,3,Vertisols,Cambisols,"Tapi, River",146.6166,0.0001,1054.1,1074.2,720.9,683.9,1286.4,963.9,15.76,79.0,66.5,57.0,57.0,60.0,53.0,26.5,81.5,61.0,6.0,114.0,98.0
Adhia Dam,22.3897,70.9997,Irrigation,Beti,Jasdan,Rajkot,160.0,Earthen,1829.0,15.0,0.9009,3,Vertisols,Cambisols,"Mahi, River",213.7144,0.0,1026.5,1011.4,880.0,659.9,1491.7,1013.9,19.42,69.0,56.0,47.0,44.0,52.5,64.0,62.5,65.0,122.0,92.0,66.0,56.0
Adhochhani Dam,23.2927,69.3555,Irrigation,Adhochhani,Nakhtarana,Kachchh,138.0,Earthen,1000.0,16.94,0.9009,5,Luvisols,Cambisols,"Indus, River",194.148,0.0,910.0,530.8,655.7,655.3,851.8,720.72,21.77,99.0,87.5,70.0,65.0,67.5,66.0,75.5,90.0,78.0,98.0,86.0,95.0
Adhoi I Dam,23.3894,70.5113,Irrigation,Adhoi,Bhachau,Kachchh,90.0,Earthen,783.0,11.95,1.8018,5,Cambisols,Vertisols,"Mahi, River",283.1477,0.0,754.5,749.9,761.9,743.9,814.7,764.98,16.99,80.0,72.5,65.5,65.0,69.5,63.5,47.0,31.5,56.5,86.0,84.0,82.0
Adpur Dam,21.5347,71.8275,Irrigation,Local Stream,Palitana,Bhavnagar,62.0,Earthen,604.0,12.3,0.0,3,Vertisols,Cambisols,"Tapi, River",108.6611,0.0001,956.6,1183.5,764.4,708.0,1441.9,1010.88,15.48,76.5,74.0,70.0,67.0,70.5,83.0,83.0,82.5,51.5,96.5,94.0,75.0
Advana Dam,21.6413,69.6291,Irrigation,Sorthi,Porbandar,Porbandar,8.0,Earthen,1347.0,20.1,0.0,3,Vertisols,Cambisols,"Tapi, River",334.2341,0.0001,1796.0,963.4,927.1,1014.3,1720.4,1284.24,23.13,52.5,41.5,44.5,54.0,54.0,48.0,37.0,51.5,32.5,73.5,56.0,61.0
Aji I Dam,22.2597,70.8472,"Drinking, Water Supply",Aji,Rajkot,Rajkot,146.0,Earthen,3426.0,21.0,0.0,3,Vertisols,Cambisols,"Mahi, River",230.319,0.0,1004.7,898.1,799.5,698.6,1358.9,951.96,18.76,22.0,21.0,112.0,24.0,9.5,17.5,31.5,12.0,2.5,25.0,5.0,6.0
Aji II Dam,22.375,70.7736,Irrigation,Aji,Rajkot,Rajkot,103.0,Earthen / Gravity & Masonry,1291.0,23.57,0.0,3,Vertisols,Cambisols,"Mahi, River",237.0062,0.0,1037.3,937.5,1036.1,654.6,1356.0,1004.3,20.19,104.5,4.5,111.5,87.5,58.0,69.0,43.5,59.5,23.0,82.5,120.0,105.0
Aji III Dam,22.5091,70.58,Irrigation,Aji,Padadhari,Rajkot,52.0,Earthen / Gravity & Masonry,7883.0,25.0,0.0,4,Unknown,Unknown,"Mahi, River",256.767,0.0,1355.2,963.3,959.8,744.2,1204.0,1045.3,22.1,34.0,43.0,121.5,24.5,28.5,19.0,26.0,47.5,35.5,80.5,46.0,27.0
Aji IV Dam,22.7144,70.4847,Irrigation,Aji,Jodiya,Jamnagar,10.0,Earthen,658.0,21.9,0.9009,4,Vertisols,Cambisols,"Mahi, River",267.9589,0.0,1015.8,1077.5,983.9,705.2,1310.9,1018.66,21.57,88.0,84.0,57.0,51.0,65.5,40.5,55.0,77.0,52.0,98.5,68.0,73.0
Ajwa Dam,22.4066,73.38,Irrigation,Surya,Waghoriya,Vadodara,66.0,Earthen,4390.0,17.07,3.6036,3,Vertisols,Cambisols,"Mahi, River",31.3056,0.0,1197.1,1131.9,1055.2,1143.2,1606.7,1226.82,16.27,96.0,94.5,85.0,81.5,80.5,77.5,43.5,37.0,54.5,102.0,110.0,71.0
Alan Sagar Dam,22.0352,71.2019,,,Jasdan,Rajkot,198.0,,,,0.0,3,Vertisols,Cambisols,"Tapi, River",189.7556,0.0001,962.5,950.2,671.3,623.7,1453.7,932.28,16.01,70.5,69.0,72.0,58.5,77.0,57.5,98.0,112.0,46.0,76.0,79.0,83.0
Amalwant Dam,22.0888,74.0375,Irrigation,T Narmada,Chhota Udepur,Vadodara,193.0,Earthen,387.0,17.68,0.9009,3,Vertisols,Leptosols,"Narmada, River",59.1084,0.0001,1018.0,1066.1,1085.7,891.6,1625.4,1137.36,13.8,113.0,87.0,87.5,90.0,81.5,65.5,88.0,121.0,1.0,1.5,113.0,85.0
Ambajal Dam,21.2844,70.7347,Irrigation,Ambajal,Visavadar,Junagadh,163.0,Earthen,1472.8,19.18,6.3063,3,Vertisols,Cambisols,"Tapi, River",217.2404,0.0001,1399.0,1269.1,812.8,904.7,1334.5,1144.02,15.22,102.0,90.5,73.0,76.5,83.0,73.0,59.0,84.5,34.0,109.5,95.0,93.0
Ambakui Dam,21.2211,70.3644,Irrigation,Ambakui,Maliya Hatina,Junagadh,85.0,Earthen,1620.0,21.0,1.8018,3,Vertisols,Luvisols,"Tapi, River",255.6453,0.0001,1518.9,1168.8,1051.3,1059.0,1433.6,1246.32,17.1,114.0,84.5,64.0,71.5,72.0,44.0,29.0,72.0,15.0,121.0,89.0,102.0
Ambala Dam,21.7191,71.9597,Irrigation,Local Stream,Sihor,Bhavnagar,50.0,Earthen,713.7,14.0,3.6036,3,Vertisols,Cambisols,"Tapi, River",104.2541,0.0001,1012.8,1181.3,817.0,675.4,1457.0,1028.7,16.92,71.5,85.0,59.5,65.0,79.5,84.0,93.0,86.5,36.5,102.5,82.0,76.0
Ambani Khodiar Dam,21.3377,71.3049,Irrigation,Khodiyar Nahera,Kundla,Amreli,141.0,Earthen,1326.0,11.8,1.8018,3,Vertisols,Cambisols,"Tapi, River",158.404,0.0001,984.7,1039.1,642.8,670.9,1063.3,880.16,15.27,68.5,59.5,62.5,61.5,57.5,66.0,51.5,55.0,28.5,110.5,66.0,85.0
Ambaradi Dam,21.7869,71.4944,Irrigation,T/Bhadr,Gondal,Rajkot,94.0,Earthen,520.0,18.1,2.7027,3,Vertisols,Cambisols,"Tapi, River",150.6757,0.0001,1075.0,985.8,776.8,636.2,1383.8,971.52,17.05,103.0,82.5,66.0,61.5,61.5,59.5,58.5,63.5,36.5,109.0,98.0,89.0
Amirpur Dam,21.1225,70.1166,"Flood Control,Irrigation",Uben,Mangrol,Junagadh,21.0,Earthen,10209.0,,1.8018,3,Vertisols,Luvisols,"Tapi, River",281.7495,0.0001,1823.5,1002.7,1105.5,1233.1,1317.9,1296.54,17.85,87.0,76.5,53.0,60.5,57.0,70.0,61.0,110.0,73.5,106.5,70.0,77.0
Anandapar Dam,22.6988,71.01,Irrigation,T/Aji,Morbi,Rajkot,79.0,Earthen,620.0,16.8,0.0,4,Vertisols,Cambisols,"Mahi, River",214.2307,0.0,1453.9,980.1,838.1,670.8,1364.9,1061.56,22.21,66.5,67.5,56.5,56.5,61.0,60.5,28.5,91.0,21.0,88.5,65.0,69.0
Anandpar Dam,22.1019,70.8611,Irrigation,T/Aji,Rajkot,Rajkot,184.0,Earthen,231.0,15.0,0.9009,3,Vertisols,Cambisols,"Tapi, River",224.5928,0.0001,1098.7,911.9,766.1,725.8,1511.9,1002.88,17.3,86.0,71.0,55.0,50.5,59.5,70.5,75.5,77.5,10.5,95.0,86.0,92.0
Andhariparpata Dam,22.8386,73.9913,Irrigation,River,Limkheda,dahod,198.0,Earthen,775.0,12.0,0.9009,3,Vertisols,Cambisols,"Unknown, Lake",14.422,-0.0004,1062.7,1273.8,940.4,1367.7,1572.8,1243.48,16.29,109.0,94.0,74.5,67.5,72.0,67.0,41.5,94.5,108.0,106.5,99.0,77.0
Angianawa Dam,23.3427,69.2666,Irrigation,Bukhi Nadi,Nakhtarana,Kachchh,134.0,Earthen,416.0,10.5,0.9009,5,Luvisols,Regosols,"Indus, River",183.5766,0.0,847.5,458.1,605.8,631.2,795.7,667.66,21.15,67.5,71.0,54.0,58.0,54.5,55.0,51.5,57.5,30.0,78.5,75.0,86.0
Anida Dam,21.9691,70.7272,Irrigation,Local Stream,Gondal,Rajkot,134.0,Earthen,760.0,15.0,0.0,3,Vertisols,Cambisols,"Tapi, River",231.7817,0.0001,1146.1,933.3,742.3,774.0,1469.2,1012.98,17.79,97.0,83.5,68.0,54.5,54.0,47.5,70.0,27.5,22.5,100.0,103.0,96.0
Arrni Dam,21.7394,70.2791,Irrigation,T/Bhadr,Upleta,Rajkot,42.0,Earthen,1120.0,11.2,0.0,3,Vertisols,Cambisols,"Tapi, River",269.5975,0.0001,1554.6,938.7,813.8,1144.6,1697.0,1229.74,23.8,88.0,81.0,64.5,57.0,60.0,48.0,16.0,70.5,122.0,65.5,64.0,76.0
Badargadh( Shiv) Dam,23.4758,70.6291,Irrigation,Badargadh,Rapar,Kachchh,150.0,Earthen,322.0,20.0,1.8018,5,Cambisols,Arenosols,"Mahi, River",275.7699,0.0,735.8,674.2,764.8,698.8,737.0,722.12,17.49,74.5,75.5,68.0,65.0,64.0,70.5,68.5,58.0,72.5,90.0,83.0,80.0
BadiPadva Dam,21.6477,72.0702,Irrigation,Maleshri,Ghogha Mahal,Bhavnagar,82.0,Earthen,774.7,15.0,0.0,3,Vertisols,Luvisols,"Tapi, River",90.4034,0.0001,1052.5,1428.4,892.8,779.5,1396.1,1109.86,16.19,92.0,94.5,66.5,71.5,72.5,81.0,79.5,78.0,41.5,104.5,89.0,75.0
Bagad Dam,21.2922,71.8958,"Hydroelectric,Irrigation",Bagad,Mahuva,Bhavnagar,54.0,Earthen,2346.46,20.39,0.0,3,Vertisols,Cambisols,"Tapi, River",97.0099,0.0001,992.6,1609.9,839.4,943.8,1308.0,1138.74,16.32,34.5,53.0,82.5,66.5,98.0,48.5,35.0,28.0,98.5,88.0,87.0,76.0
Baladhor Dam,23.2608,68.8269,Irrigation,Naira Nadi,Abdasa,Kachchh,24.0,Earthen,330.0,10.79,0.9009,5,Arenosols,Cambisols,"Indus, River",157.9136,0.0,855.0,574.2,681.2,709.1,973.4,758.58,21.84,78.0,77.5,70.5,61.5,68.5,52.0,33.0,61.0,65.5,96.0,86.0,90.0
Balamdi Dam,22.1533,70.4202,Irrigation,Bqalambhadi,Kalavad,Jamnagar,120.0,Earthen,366.0,18.0,0.9009,3,Vertisols,Cambisols,"Tapi, River",268.6222,0.0001,1231.2,931.7,936.3,703.7,1260.1,1012.6,20.12,105.5,85.0,57.5,57.0,57.5,42.0,68.0,90.0,84.0,88.0,65.0,72.0
Balapar Budadro Dam,23.2608,68.8272,Irrigation,Naliya,Abdasa,Kachchh,24.0,Earthen,1280.0,14.93,0.9009,5,Arenosols,Luvisols,"Indus, River",157.9329,0.0,855.0,574.2,681.2,709.1,973.4,758.58,21.84,78.0,77.5,70.5,61.5,68.0,52.0,33.0,61.0,41.0,96.0,86.0,90.0
Baldeva Dam,21.6155,73.4063,Irrigation,Tokri,Valia,Bharuch,136.0,Earthen,1391.0,23.4,0.9009,3,Unknown,Unknown,"Narmada, River",30.0869,-0.0001,1120.6,1387.1,1164.2,1047.2,1755.0,1294.82,14.54,98.0,78.5,82.0,73.5,91.0,66.5,106.0,66.5,33.0,9.0,117.0,75.0
Baliyawad Dam,21.6008,70.5552,Irrigation,Baliyawada,Junagadh,Junagadh,102.0,Earthen / Gravity & Masonry,39.0,13.4,1.8018,3,Vertisols,Cambisols,"Tapi, River",238.7937,0.0001,1369.2,1117.3,836.4,1063.7,1378.9,1153.1,18.47,112.0,105.0,77.0,67.0,74.0,59.0,58.5,69.0,22.0,108.0,100.0,96.0
Bamanbore Dam,22.4155,71.0408,Irrigation,T/ Machhu,Chotila,Surendranagar,176.0,Earthen,286.0,15.0,12.6126,3,Vertisols,Cambisols,"Mahi, River",209.4102,0.0,991.1,1019.9,818.1,663.6,1490.1,996.56,18.79,78.0,69.0,59.0,52.0,70.5,86.5,78.0,94.0,122.0,106.0,94.0,79.0
Bamathia I Dam,21.9391,70.0766,Irrigation,Local Stream,Jam Jodhpur,Jamnagar,90.0,Earthen,1342.0,14.0,0.0,3,Vertisols,Cambisols,"Tapi, River",294.9428,0.0001,1270.6,884.4,815.4,710.7,1534.5,1043.12,19.64,112.0,78.0,56.0,95.5,109.5,50.5,25.0,44.5,2.0,98.0,23.0,41.0
Bamathiya II Dam,22.0561,70.0561,Irrigation,Local Voklo,Jam Jodhpur,Jamnagar,169.0,Earthen,77.0,13.9,0.0,3,Vertisols,Luvisols,"Tapi, River",300.5074,0.0001,1383.4,929.5,824.5,699.6,1530.8,1073.56,20.38,67.0,70.0,56.5,52.0,56.0,45.0,56.0,72.5,96.5,109.5,86.0,76.0
Bambhanka Dam,23.8097,70.3344,Irrigation,Gangui Nadi,Bhachau,Kachchh,14.0,Earthen,1335.57,11.68,1.8018,5,Cambisols,Arenosols,"Indus, River",247.4218,-0.0003,534.4,449.8,728.4,700.9,573.8,597.46,20.65,72.5,76.0,64.5,52.5,52.5,49.0,52.5,60.5,78.0,82.0,70.0,68.0
Bandhara Dam,23.0688,69.71,Irrigation,Bhuj,Bhuj,Kachchh,128.0,Earthen,338.0,16.45,0.0,5,Vertisols,Luvisols,"Indus, River",238.0405,0.0,788.2,717.5,752.1,744.0,946.3,789.62,22.16,78.5,92.0,71.0,75.0,81.0,74.0,62.0,82.0,40.5,105.5,101.0,106.0
Bandi Dam,23.2416,69.6675,Irrigation,Saburi,Bhuj,Kachchh,103.0,Earthen / Gravity & Masonry,3720.0,13.9,1.8018,5,Vertisols,Luvisols,"Indus, River",223.2475,0.0,768.6,576.4,673.5,674.4,755.3,689.64,20.89,57.0,50.0,50.5,54.5,51.0,55.0,45.5,48.5,25.0,53.5,53.0,68.0
Bangawadi Dam,22.4341,70.6019,Irrigation,T/Aji,Padadhari,Rajkot,66.0,Earthen / Gravity & Masonry,2937.0,17.6,0.0,4,Vertisols,Cambisols,"Mahi, River",254.4828,0.0,1255.7,972.6,932.2,673.5,1219.8,1010.76,20.87,80.0,72.0,59.0,56.0,62.0,50.5,44.0,78.0,47.0,80.0,74.0,63.0
Baranda Dam,23.555,68.6763,Irrigation,Local River,Lakhpat,Kachchh,81.0,Earthen,725.57,13.45,0.9009,5,Vertisols,Cambisols,"Indus, River",123.1239,0.0,563.5,375.5,649.6,536.0,673.4,559.6,19.14,75.5,69.0,64.5,57.5,57.0,50.0,35.5,40.0,96.5,100.0,91.0,73.0
Baukha Dam,23.3138,69.5919,Irrigation,Kayla,Bhuj,Kachchh,85.0,Earthen,468.0,15.5,0.9009,5,Cambisols,Arenosols,"Indus, River",212.358,0.0,765.6,539.3,658.3,596.1,730.7,658.0,20.51,77.5,72.5,67.0,62.0,60.0,61.5,53.5,63.0,65.5,96.5,74.0,73.0
Bedi Dam,22.3441,70.8074,Irrigation,T/Demi,Rajkot,Rajkot,103.0,Earthen / Gravity & Masonry,1095.0,10.95,9.9099,3,Vertisols,Cambisols,"Mahi, River",233.696,0.0,1001.9,932.3,944.9,680.3,1371.5,986.18,18.79,98.5,87.5,83.0,95.0,77.5,78.0,58.0,71.5,122.0,86.0,77.0,76.0
Bela Dam,23.8736,70.8044,Irrigation,Bela,Rapar,Kachchh,32.0,Earthen,1018.3,16.15,0.9009,5,Luvisols,Vertisols,"Mahi, River",281.6465,0.0,564.5,482.5,642.7,679.8,467.3,567.36,18.18,57.5,58.0,51.0,51.5,53.5,52.5,51.5,51.0,55.5,78.0,69.0,73.0
Berachiya Dam,23.2122,69.0655,Irrigation,Nayra,Abdasa,Kachchh,67.0,Earthen,2010.0,22.54,0.9009,5,Vertisols,Luvisols,"Indus, River",178.1176,0.0,784.4,514.8,676.1,812.1,960.6,749.6,18.87,79.5,71.0,72.5,70.5,74.0,52.5,22.5,58.5,38.0,94.0,100.0,90.0
Bhadar II Dam,21.815,70.768,Irrigation,Bandi,Dhoraji,Rajkot,105.0,Earthen,1350.0,12.15,0.0,3,Unknown,Unknown,"Tapi, River",222.4864,0.0001,1294.3,996.6,766.5,778.6,1510.4,1069.28,17.4,95.0,76.5,59.0,70.0,89.5,58.0,41.0,68.0,35.5,101.0,89.0,93.0
Bhadar(Mena Mortalav) Dam,23.3288,73.6883,Irrigation,Bhadar,Lunavada,Panch Mahals,119.0,Earthen / Gravity & Masonry,1412.0,45.78,4.5045,3,Unknown,Unknown,"Mahi, River",13.4673,0.0002,951.1,1260.4,921.0,1423.3,1359.3,1183.02,16.62,81.0,79.0,75.5,69.0,80.0,81.0,52.5,38.0,87.5,94.0,75.0,61.0
Bhadar(S) Dam,21.8255,70.7688,Irrigation,Bhadar,Gondal,Rajkot,105.0,Earthen / Gravity & Masonry,4429.0,29.26,0.0,3,Unknown,Unknown,"Tapi, River",222.7334,0.0001,1294.3,996.6,766.5,778.6,1510.4,1069.28,17.4,72.0,33.0,42.5,63.5,79.5,54.5,44.5,21.5,28.5,52.0,12.0,83.0
Bhadreshwar Dam,22.9091,69.8994,Irrigation,Bhadreshwar,Mundra,Kachchh,11.0,Earthen,2537.38,14.76,3.6036,5,Vertisols,Cambisols,"Indus, River",264.2442,0.0,917.2,759.6,825.2,695.8,1033.1,846.18,23.24,76.0,74.0,64.0,60.5,61.5,62.5,60.5,82.0,43.0,112.0,91.0,80.0
Bhaguda Dam,21.248,71.8977,Irrigation,T/Bagad,Mahuva,Bhavnagar,44.0,Earthen,430.0,16.0,1.8018,3,Vertisols,Leptosols,"Tapi, River",96.7024,0.0001,992.6,1609.9,839.4,943.8,1308.0,1138.74,16.32,94.0,89.5,92.0,101.5,86.5,76.0,61.0,92.0,122.0,100.5,98.0,92.0
Bhandaria Dam,21.8158,71.5452,Irrigation,Local Stream,Palitana,Bhavnagar,82.0,Earthen,340.0,17.5,2.7027,3,Vertisols,Cambisols,"Tapi, River",147.2068,0.0001,1087.8,999.6,691.6,643.0,1345.6,953.52,16.89,95.0,84.5,80.5,74.0,64.0,63.0,70.5,94.5,40.5,127.0,108.0,103.0
Bhanmer Dam,23.8313,73.3472,Irrigation,Bhanmervangha,Bhiloda,Sabar Kantha,266.0,Earthen,510.0,10.0,1.8018,3,Vertisols,Cambisols,"Som Kahmla, River",65.8473,-0.0002,997.5,1278.6,1094.3,1177.7,1210.5,1151.72,15.5,4.5,121.5,86.0,75.0,99.0,102.0,95.0,14.0,10.0,126.0,101.0,97.0
Bharad Dam,21.3877,71.0224,Irrigation,,Dhari Mahal,Amreli,186.0,Earthen,425.0,19.5,3.6036,3,Vertisols,Cambisols,"Tapi, River",187.9687,0.0001,1072.7,1059.9,641.4,679.7,1213.3,933.4,17.33,118.5,98.0,71.0,73.0,84.0,79.5,36.5,90.0,41.5,115.0,92.0,76.0
Bharapar Dam,23.2572,68.8277,Irrigation,Naliya,Abdasa,Kachchh,20.0,Earthen,738.0,13.44,2.7027,5,Arenosols,Cambisols,"Indus, River",158.2764,0.0,855.0,574.2,681.2,709.1,973.4,758.58,21.84,76.0,70.0,67.5,61.5,64.0,53.5,33.0,61.0,41.0,83.0,86.0,90.0
Bharudia Dam,23.5602,70.4166,Irrigation,Bharudia,Bhachau,Kachchh,30.0,Earthen,2258.0,11.81,0.9009,5,Cambisols,Luvisols,"Indus, River",271.1722,-0.0003,695.4,497.4,732.1,620.7,569.0,622.92,19.04,85.0,87.5,76.0,74.0,74.0,65.5,50.5,44.0,74.5,104.0,100.0,112.0
Bhimdad Dam,22.0836,71.5763,Irrigation,Madhu,Gadhada,Bhavnagar,94.0,Earthen,2197.73,21.65,1.8018,3,Vertisols,Cambisols,"Tapi, River",159.5019,0.0001,861.2,902.1,697.5,666.4,1500.6,925.56,17.06,82.0,67.5,67.0,66.0,54.0,68.0,67.0,68.0,37.5,69.0,75.0,88.0
BhogavoII (Wadhowan) Dam,22.4613,71.2347,Irrigation,Bhogavo,Wadhwan,Surendranagar,174.0,Earthen,3891.0,39.0,0.0,3,Vertisols,Cambisols,"Mahi, River",189.4381,0.0,1051.6,958.5,747.7,603.8,1328.4,938.0,19.89,92.5,90.0,71.0,70.0,71.0,63.5,66.5,118.0,46.5,108.0,81.0,81.0
Bhuj Dam,23.2538,69.6322,Irrigation,Khari Nadi,Bhuj,Kachchh,86.0,Earthen,1250.0,17.3,7.2072,5,Luvisols,Regosols,"Indus, River",219.5052,0.0,768.6,576.4,673.5,674.4,755.3,689.64,20.89,69.0,65.0,50.0,57.0,51.5,46.5,48.5,57.5,28.0,67.5,64.0,75.0
Bhuki Dam,23.333,69.2936,Irrigation,Bhukhi,Nakhtarana,Kachchh,124.0,Earthen,1550.0,31.0,2.7027,5,Luvisols,Vertisols,"Indus, River",186.4088,0.0,910.0,530.8,655.7,655.3,851.8,720.72,21.77,90.0,82.5,71.5,68.0,62.5,56.5,63.0,85.0,87.5,103.5,88.0,93.0
Bodi Dam,23.4708,73.295,Irrigation,Local Vangha,Modasa,Sabar Kantha,133.0,Earthen,240.0,15.0,4.5045,3,Vertisols,Cambisols,"Mahi, River",56.5532,0.0002,1038.4,1115.5,970.0,1484.2,1259.4,1173.5,17.59,87.0,89.0,70.5,63.5,75.0,81.0,43.0,87.0,102.5,96.5,82.0,77.0
Borsi Dam,23.4941,73.5038,Irrigation,Chuli,Meghraj,Sabar Kantha,166.0,Earthen,565.0,17.0,3.6036,3,Luvisols,Leptosols,"Mahi, River",39.3654,0.0002,1038.4,1333.1,909.0,1324.7,1148.8,1150.8,16.45,88.0,80.5,65.0,65.5,76.0,85.5,97.0,70.0,51.5,117.5,95.0,76.0
BrahmaniI Dam,22.6652,71.2136,Irrigation,Brahmani,Halvad,Surendranagar,112.0,Earthen / Gravity & Masonry,3626.0,23.42,0.0,3,Unknown,Unknown,"Mahi, River",193.0405,0.0,1209.5,979.0,790.8,648.8,1201.8,965.98,21.22,87.0,63.0,63.5,88.0,78.5,73.5,74.5,79.5,122.0,83.0,71.0,84.0
BrahmaniII Dam,22.6675,71.2144,Irrigation,,Halvad,Surendranagar,112.0,,3508.0,14.2,0.0,4,Unknown,Unknown,"Mahi, River",192.9903,0.0,1209.5,979.0,790.8,648.8,1201.8,965.98,21.22,77.0,66.0,63.5,74.5,78.5,73.5,27.5,79.5,122.0,96.5,71.0,87.0
Burkhan Dam,23.2605,68.8272,Irrigation,Burkhan,Abdasa,Kachchh,24.0,Earthen,927.0,16.01,0.9009,5,Arenosols,Luvisols,"Indus, River",157.9589,0.0,855.0,574.2,681.2,709.1,973.4,758.58,21.84,78.0,77.5,70.5,61.5,68.0,52.0,33.0,61.0,41.0,96.0,86.0,90.0
Butta Dam,23.3997,68.8699,Irrigation,Local Stream,Abdasa,Kachchh,28.0,Earthen,668.0,12.2,0.0,5,Luvisols,Fluvisols,"Indus, River",149.2441,0.0,655.2,514.9,655.2,622.4,730.0,635.54,20.29,72.0,67.0,59.0,65.0,63.5,54.0,65.0,51.5,79.0,99.5,92.0,87.0
Chachka Dam,22.4277,71.6655,Irrigation,Magadakivehla,Limbdi,Surendranagar,72.0,Earthen,446.0,11.0,1.8018,3,Vertisols,Cambisols,"Mahi, River",145.1841,0.0,964.6,979.6,928.9,660.9,1493.2,1005.44,20.04,104.0,99.0,97.5,80.0,68.5,49.5,70.5,97.5,33.0,114.0,100.0,100.0
Chandrabhaga Dam,23.3044,70.3508,Irrigation,Chandrabhaga,Dhrangadhra,Surendranagar,47.0,Earthen,1982.0,15.0,0.9009,5,Vertisols,Arenosols,"Indus, River",279.3341,0.0001,718.7,662.2,800.2,695.9,771.2,729.64,18.37,71.5,73.5,64.5,56.0,67.5,55.5,55.0,50.0,71.5,84.5,72.0,72.0
Chang Dam,23.5102,70.343,Irrigation,Chang,Bhachau,Kachchh,27.0,Earthen,1440.36,18.31,0.9009,5,Arenosols,Cambisols,"Indus, River",268.8258,0.0001,769.5,594.8,739.3,666.9,594.0,672.9,19.37,79.0,87.5,70.0,67.5,73.0,66.0,66.5,59.0,67.5,91.5,83.0,83.0
Chavadka Dam,23.3461,69.3463,Irrigation,Local River,Nakhtarana,Kachchh,100.0,Earthen,173.3,10.68,0.9009,5,Luvisols,Cambisols,"Indus, River",189.7922,0.0,869.1,463.8,642.8,620.9,773.9,674.1,22.18,80.5,91.0,79.5,71.5,67.0,68.5,73.0,87.0,98.5,110.5,93.0,95.0
ChhaparvadiII Dam,22.0288,70.705,Irrigation,Chhaparwadi,Jetpur,Rajkot,141.0,Earthen / Gravity & Masonry,471.0,24.09,0.9009,3,Vertisols,Cambisols,"Tapi, River",236.2517,0.0001,1215.1,995.1,766.9,780.9,1487.3,1049.06,18.97,79.0,71.5,65.0,61.5,73.0,65.5,83.5,23.5,78.5,60.0,72.0,73.0
ChhaparwadiLunivav Dam,22.0288,70.705,Irrigation,Chharwadi,Gondal,Rajkot,141.0,Earthen / Gravity & Masonry,1984.0,17.0,0.9009,3,Vertisols,Cambisols,"Tapi, River",236.2517,0.0001,1215.1,995.1,766.9,780.9,1487.3,1049.06,18.97,79.0,71.5,65.0,61.5,73.0,65.5,83.5,23.5,78.5,60.0,72.0,73.0
ChimnabaiLake Dam,23.4875,71.675,Irrigation,Rupen,Kheralu,Mahesana,13.0,Earthen,4840.0,15.0,1.8018,4,Cambisols,Calcisols,"Mahi, River",184.7116,0.0,933.5,631.8,813.8,764.8,790.4,786.86,18.3,76.5,73.5,62.5,55.5,57.0,45.5,51.0,58.0,85.0,85.5,80.0,73.0
Chonda Dam,21.5422,71.7041,Irrigation,,Palitana,Bhavnagar,79.0,Earthen / Gravity & Masonry,123.0,23.38,0.0,3,Vertisols,Cambisols,"Tapi, River",121.1524,0.0001,1072.8,1120.4,790.2,728.4,1444.8,1031.32,15.54,66.5,66.5,73.0,76.0,48.0,66.0,72.5,21.0,14.5,78.5,87.0,82.0
Chopadavav Dam,21.5355,73.7525,Irrigation,Doman,Sagbara,Narmada,186.0,,1288.0,31.3,0.0,3,Vertisols,Cambisols,"Ukai, Reservoir ",24.0331,0.002,1138.4,1340.6,1160.7,1006.5,1688.4,1266.92,13.33,89.0,76.5,61.0,74.5,82.0,73.5,57.0,64.5,35.0,109.5,91.0,87.0
Chorwadala Dam,21.6783,71.7797,Irrigation,Local Stream,Sihor,Bhavnagar,84.0,Earthen / Gravity & Masonry,280.0,18.0,1.8018,3,Vertisols,Cambisols,"Tapi, River",118.8342,0.0001,1095.0,1060.5,823.6,694.8,1457.8,1026.34,16.46,84.0,88.5,72.5,71.5,76.0,92.0,83.0,81.0,39.0,103.5,87.0,74.0
Dabahada Dam,22.8436,74.0486,Irrigation,Kotar,Limkheda,dahod,237.0,Earthen / Gravity & Masonry,614.0,14.0,0.0,3,Vertisols,Luvisols,"Unknown, Lake",16.0813,-0.0004,1116.4,1330.5,980.8,1329.1,1636.0,1278.56,15.93,101.0,86.5,75.5,68.5,77.0,77.5,33.0,98.0,126.0,115.0,110.0,74.0
